pipeline_id,total_tasks,failed_tasks,stage_count,task_failure_rate
pipe-elvym,1,0.0,1.0,0.0
pipe-emhuj,1,1.0,1.0,1.0
pipe-emtod,1,0.0,1.0,0.0
pipe-enoqb,1,1.0,1.0,1.0
pipe-eorjp,1,0.0,1.0,0.0
pipe-eprih,1,0.0,1.0,0.0
pipe-eqacb,1,0.0,1.0,0.0
pipe-eqbnc,1,0.0,1.0,0.0
pipe-eqhfq,1,0.0,1.0,0.0
pipe-eqjli,1,0.0,1.0,0.0
pipe-eqmye,1,0.0,1.0,0.0
pipe-eqplq,1,0.0,1.0,0.0
pipe-erbjb,1,1.0,1.0,1.0
pipe-eripz,1,0.0,1.0,0.0
pipe-etemt,1,0.0,1.0,0.0
pipe-etvbu,1,0.0,1.0,0.0
pipe-etxqd,1,0.0,1.0,0.0
pipe-etyke,1,1.0,1.0,1.0
pipe-evrcv,1,0.0,1.0,0.0
pipe-ewdpq,1,0.0,1.0,0.0
pipe-exhjd,1,0.0,1.0,0.0
pipe-exulu,1,1.0,1.0,1.0
pipe-faaot,1,0.0,1.0,0.0
pipe-fbxlh,1,0.0,1.0,0.0
pipe-fcfqb,1,0.0,1.0,0.0
pipe-fcnji,1,1.0,1.0,1.0
pipe-fcrxx,1,1.0,1.0,1.0
pipe-fcvme,1,0.0,1.0,0.0
pipe-fdeze,1,0.0,1.0,0.0
pipe-feknr,1,0.0,1.0,0.0
pipe-feouv,1,1.0,1.0,1.0
pipe-fewxp,1,0.0,1.0,0.0
pipe-fgmdm,1,0.0,1.0,0.0
pipe-fhhpq,1,1.0,1.0,1.0
pipe-fjqhs,1,0.0,1.0,0.0
pipe-fkbtr,1,0.0,1.0,0.0
pipe-fksav,1,0.0,1.0,0.0
pipe-flqdt,1,1.0,1.0,1.0
pipe-fpaga,1,0.0,1.0,0.0
pipe-fpdym,1,0.0,1.0,0.0
pipe-fqfwb,1,0.0,1.0,0.0
pipe-frian,1,0.0,1.0,0.0
pipe-frtti,1,0.0,1.0,0.0
pipe-fsekj,1,0.0,1.0,0.0
pipe-fsnyy,1,0.0,1.0,0.0
pipe-ftmwg,1,1.0,1.0,1.0
pipe-fulak,1,0.0,1.0,0.0
pipe-furpq,1,1.0,1.0,1.0
pipe-fvgza,1,1.0,1.0,1.0
pipe-fvmaq,1,0.0,1.0,0.0
pipe-fxcbz,1,1.0,1.0,1.0
pipe-fycwn,1,0.0,1.0,0.0
pipe-fykly,1,0.0,1.0,0.0
pipe-fylhm,1,0.0,1.0,0.0
pipe-fysjp,1,0.0,1.0,0.0
pipe-fzeaz,1,0.0,1.0,0.0
pipe-fzefn,1,0.0,1.0,0.0
pipe-fzhky,1,1.0,1.0,1.0
pipe-gaygh,1,0.0,1.0,0.0
pipe-gbnnv,1,0.0,1.0,0.0
pipe-gddnf,1,0.0,1.0,0.0
pipe-gdihx,1,0.0,1.0,0.0
pipe-gdvbk,1,1.0,1.0,1.0
pipe-ggakn,1,0.0,1.0,0.0
pipe-ggqby,1,0.0,1.0,0.0
pipe-ghtyq,1,1.0,1.0,1.0
pipe-gioqd,1,0.0,1.0,0.0
pipe-gjkfx,1,0.0,1.0,0.0
pipe-gkiyy,1,1.0,1.0,1.0
pipe-glsyk,1,0.0,1.0,0.0
pipe-gmlrt,1,1.0,1.0,1.0
pipe-gnrle,1,0.0,1.0,0.0
pipe-gnwzj,1,0.0,1.0,0.0
pipe-gnyji,1,1.0,1.0,1.0
pipe-gpbvd,1,1.0,1.0,1.0
pipe-gtivx,1,0.0,1.0,0.0
pipe-gtrbk,1,1.0,1.0,1.0
pipe-gtskt,1,0.0,1.0,0.0
pipe-gucow,1,0.0,1.0,0.0
pipe-guzhf,1,1.0,1.0,1.0
pipe-gvfox,1,1.0,1.0,1.0
pipe-gvmil,1,1.0,1.0,1.0
pipe-gvqcj,1,0.0,1.0,0.0
pipe-gvzes,1,1.0,1.0,1.0
pipe-gwble,1,0.0,1.0,0.0
pipe-gwmyg,1,0.0,1.0,0.0
pipe-gzwus,1,1.0,1.0,1.0
pipe-gzyxi,1,0.0,1.0,0.0
pipe-hbqzl,1,0.0,1.0,0.0
pipe-hbtil,1,1.0,1.0,1.0
pipe-hdkej,1,0.0,1.0,0.0
pipe-hdkns,1,0.0,1.0,0.0
pipe-hfgua,1,0.0,1.0,0.0
pipe-hfllf,1,1.0,1.0,1.0
pipe-hhcif,1,0.0,1.0,0.0
pipe-hhztk,1,0.0,1.0,0.0
pipe-hirxa,1,0.0,1.0,0.0
pipe-hjahz,1,0.0,1.0,0.0
pipe-hkjcc,1,0.0,1.0,0.0
pipe-hlkyb,1,1.0,1.0,1.0
pipe-hovbp,1,0.0,1.0,0.0
pipe-hpxpo,1,1.0,1.0,1.0
pipe-hrino,1,0.0,1.0,0.0
pipe-hunyi,1,0.0,1.0,0.0
pipe-huvoq,1,0.0,1.0,0.0
pipe-hwkwo,1,0.0,1.0,0.0
pipe-hwoev,1,1.0,1.0,1.0
pipe-hyged,1,1.0,1.0,1.0
pipe-hyugf,1,1.0,1.0,1.0
pipe-hzisz,1,1.0,1.0,1.0
pipe-icgza,1,0.0,1.0,0.0
pipe-icogq,1,1.0,1.0,1.0
pipe-idczi,1,0.0,1.0,0.0
pipe-iecxn,1,0.0,1.0,0.0
pipe-ifjqp,1,0.0,1.0,0.0
pipe-ifurh,1,0.0,1.0,0.0
pipe-igkvd,1,1.0,1.0,1.0
pipe-ihqvu,1,0.0,1.0,0.0
pipe-iicrt,1,0.0,1.0,0.0
pipe-iiozj,1,0.0,1.0,0.0
pipe-ikatf,1,0.0,1.0,0.0
pipe-ikihu,1,0.0,1.0,0.0
pipe-ikiyn,1,0.0,1.0,0.0
pipe-ikqzx,1,1.0,1.0,1.0
pipe-ilchp,1,0.0,1.0,0.0
pipe-impdm,1,0.0,1.0,0.0
pipe-inlah,1,0.0,1.0,0.0
pipe-iolmh,1,0.0,1.0,0.0
pipe-iqyab,1,0.0,1.0,0.0
pipe-isyrc,1,0.0,1.0,0.0
pipe-itcoy,1,0.0,1.0,0.0
pipe-iuarg,1,0.0,1.0,0.0
pipe-iuilg,1,0.0,1.0,0.0
pipe-iujqn,1,0.0,1.0,0.0
pipe-ivuyn,1,1.0,1.0,1.0
pipe-iwyow,1,0.0,1.0,0.0
pipe-ixaqa,1,0.0,1.0,0.0
pipe-ixswj,1,0.0,1.0,0.0
pipe-ixwlz,1,0.0,1.0,0.0
pipe-iyrcg,1,0.0,1.0,0.0
pipe-jakwz,1,0.0,1.0,0.0
pipe-jback,1,1.0,1.0,1.0
pipe-jdtsm,1,1.0,1.0,1.0
pipe-jebcc,1,0.0,1.0,0.0
pipe-jeoxp,1,0.0,1.0,0.0
pipe-jfkqt,1,1.0,1.0,1.0
pipe-jfyib,1,0.0,1.0,0.0
pipe-jgeje,1,0.0,1.0,0.0
pipe-jgqpw,1,1.0,1.0,1.0
pipe-jguia,1,0.0,1.0,0.0
pipe-jgvxp,1,0.0,1.0,0.0
pipe-jhzyp,1,1.0,1.0,1.0
pipe-jjxvq,1,0.0,1.0,0.0
pipe-jknoh,1,0.0,1.0,0.0
pipe-jmcgk,1,0.0,1.0,0.0
pipe-jnlet,1,0.0,1.0,0.0
pipe-jogtp,1,0.0,1.0,0.0
pipe-jsoiy,1,0.0,1.0,0.0
pipe-jssqd,1,1.0,1.0,1.0
pipe-jvsxg,1,0.0,1.0,0.0
pipe-jxeyq,1,0.0,1.0,0.0
pipe-jxsne,1,0.0,1.0,0.0
pipe-jxwqk,1,0.0,1.0,0.0
pipe-jymhf,1,0.0,1.0,0.0
pipe-jyxnb,1,0.0,1.0,0.0
pipe-kaexx,1,0.0,1.0,0.0
pipe-kapec,1,0.0,1.0,0.0
pipe-kdguo,1,0.0,1.0,0.0
pipe-kdgxc,1,0.0,1.0,0.0
pipe-kdvxb,1,0.0,1.0,0.0
pipe-keewh,1,0.0,1.0,0.0
pipe-kefof,1,1.0,1.0,1.0
pipe-ketma,1,0.0,1.0,0.0
pipe-kgyvb,1,0.0,1.0,0.0
pipe-khqes,1,0.0,1.0,0.0
pipe-khyrz,1,0.0,1.0,0.0
pipe-kiayp,1,0.0,1.0,0.0
pipe-kiguy,1,0.0,1.0,0.0
pipe-kjxjg,1,1.0,1.0,1.0
pipe-kkjqy,1,0.0,1.0,0.0
pipe-kkpfy,1,0.0,1.0,0.0
pipe-kkpun,1,0.0,1.0,0.0
pipe-kkxpt,1,1.0,1.0,1.0
pipe-kkynn,1,0.0,1.0,0.0
pipe-kkzaj,1,0.0,1.0,0.0
pipe-klzmz,1,0.0,1.0,0.0
pipe-konub,1,1.0,1.0,1.0
pipe-krbcs,1,0.0,1.0,0.0
pipe-krbsz,1,0.0,1.0,0.0
pipe-krfla,1,0.0,1.0,0.0
pipe-kruol,1,0.0,1.0,0.0
pipe-kseff,1,1.0,1.0,1.0
pipe-ksrqs,1,0.0,1.0,0.0
pipe-ktasf,1,1.0,1.0,1.0
pipe-ktyxw,1,0.0,1.0,0.0
pipe-kusyt,1,0.0,1.0,0.0
pipe-kuvqr,1,0.0,1.0,0.0
pipe-kwdez,1,0.0,1.0,0.0
pipe-kyfqx,1,0.0,1.0,0.0
pipe-kykdv,1,1.0,1.0,1.0
pipe-kyknm,1,0.0,1.0,0.0
pipe-kzgef,1,1.0,1.0,1.0
pipe-lamzr,1,0.0,1.0,0.0
pipe-latur,1,0.0,1.0,0.0
pipe-lbxtz,1,0.0,1.0,0.0
pipe-lcrys,1,1.0,1.0,1.0
pipe-ldebl,1,0.0,1.0,0.0
pipe-ldfhw,1,0.0,1.0,0.0
pipe-ldwwn,1,1.0,1.0,1.0
pipe-ledgr,1,1.0,1.0,1.0
pipe-lelrv,1,0.0,1.0,0.0
pipe-lfwrs,1,0.0,1.0,0.0
pipe-lidao,1,0.0,1.0,0.0
pipe-llhrk,1,0.0,1.0,0.0
pipe-llkvt,1,0.0,1.0,0.0
pipe-lllih,1,1.0,1.0,1.0
pipe-llrgx,1,0.0,1.0,0.0
pipe-lnhru,1,1.0,1.0,1.0
pipe-lpcgq,1,1.0,1.0,1.0
pipe-lphmg,1,0.0,1.0,0.0
pipe-lqmnl,1,0.0,1.0,0.0
pipe-lrltq,1,1.0,1.0,1.0
pipe-lumxr,1,1.0,1.0,1.0
pipe-lvqjg,1,0.0,1.0,0.0
pipe-lypqt,1,0.0,1.0,0.0
pipe-lzewt,1,0.0,1.0,0.0
pipe-maabm,1,0.0,1.0,0.0
pipe-marwy,1,0.0,1.0,0.0
pipe-mbxgq,1,1.0,1.0,1.0
pipe-mgldr,1,0.0,1.0,0.0
pipe-mhsbn,1,0.0,1.0,0.0
pipe-mjnuc,1,0.0,1.0,0.0
pipe-mjyrf,1,0.0,1.0,0.0
pipe-mkyet,1,0.0,1.0,0.0
pipe-mkyye,1,0.0,1.0,0.0
pipe-mlcoy,1,0.0,1.0,0.0
pipe-mlfqc,1,1.0,1.0,1.0
pipe-mmgqn,1,0.0,1.0,0.0
pipe-mmgxj,1,0.0,1.0,0.0
pipe-mogid,1,0.0,1.0,0.0
pipe-mooze,1,0.0,1.0,0.0
pipe-mpeen,1,0.0,1.0,0.0
pipe-mpjwd,1,1.0,1.0,1.0
pipe-mqlyu,1,1.0,1.0,1.0
pipe-mrbar,1,0.0,1.0,0.0
pipe-mtqtg,1,0.0,1.0,0.0
pipe-muasr,1,0.0,1.0,0.0
pipe-mulby,1,0.0,1.0,0.0
pipe-muvcf,1,1.0,1.0,1.0
pipe-mvjqp,1,0.0,1.0,0.0
pipe-mwhtw,1,0.0,1.0,0.0
pipe-mwkkl,1,0.0,1.0,0.0
pipe-mycfh,1,1.0,1.0,1.0
pipe-mzegz,1,0.0,1.0,0.0
pipe-mzfhh,1,0.0,1.0,0.0
pipe-nasiy,1,0.0,1.0,0.0
pipe-nbsag,1,0.0,1.0,0.0
pipe-nbvic,1,0.0,1.0,0.0
pipe-nbzxs,1,1.0,1.0,1.0
pipe-ncamq,1,0.0,1.0,0.0
pipe-nceyj,1,0.0,1.0,0.0
pipe-nfsvv,1,0.0,1.0,0.0
pipe-ngdoz,1,0.0,1.0,0.0
pipe-ngfve,1,0.0,1.0,0.0
pipe-nhzlo,1,0.0,1.0,0.0
pipe-nkshw,1,1.0,1.0,1.0
pipe-nlcox,1,1.0,1.0,1.0
pipe-nlidl,1,0.0,1.0,0.0
pipe-nmsde,1,0.0,1.0,0.0
pipe-nmzfe,1,0.0,1.0,0.0
pipe-nnauq,1,0.0,1.0,0.0
pipe-nndcd,1,0.0,1.0,0.0
pipe-npaee,1,1.0,1.0,1.0
pipe-npjqk,1,1.0,1.0,1.0
pipe-npuag,1,0.0,1.0,0.0
pipe-nqfnw,1,0.0,1.0,0.0
pipe-nrfvq,1,0.0,1.0,0.0
pipe-nsewk,1,0.0,1.0,0.0
pipe-ntpur,1,0.0,1.0,0.0
pipe-nueqk,1,0.0,1.0,0.0
pipe-nwxga,1,0.0,1.0,0.0
pipe-nxbsu,1,0.0,1.0,0.0
pipe-nyhmd,1,0.0,1.0,0.0
pipe-nyiih,1,0.0,1.0,0.0
pipe-nywyx,1,0.0,1.0,0.0
pipe-nzgud,1,0.0,1.0,0.0
pipe-oakjy,1,1.0,1.0,1.0
pipe-oazhv,1,0.0,1.0,0.0
pipe-objxe,1,0.0,1.0,0.0
pipe-obutp,1,0.0,1.0,0.0
pipe-occta,1,0.0,1.0,0.0
pipe-ocmjb,1,0.0,1.0,0.0
pipe-ocvyx,1,0.0,1.0,0.0
pipe-oczyt,1,1.0,1.0,1.0
pipe-odylu,1,0.0,1.0,0.0
pipe-oegqt,1,1.0,1.0,1.0
pipe-oence,1,0.0,1.0,0.0
pipe-ofkhs,1,0.0,1.0,0.0
pipe-ofrbk,1,1.0,1.0,1.0
pipe-ogaxw,1,0.0,1.0,0.0
pipe-ogcag,1,0.0,1.0,0.0
pipe-ohjdl,1,1.0,1.0,1.0
pipe-ohxgh,1,0.0,1.0,0.0
pipe-oicro,1,0.0,1.0,0.0
pipe-ojhnz,1,1.0,1.0,1.0
pipe-okgtu,1,0.0,1.0,0.0
pipe-okjmm,1,0.0,1.0,0.0
pipe-oknyz,1,0.0,1.0,0.0
pipe-olcib,1,1.0,1.0,1.0
pipe-olnkc,1,0.0,1.0,0.0
pipe-oloqe,1,0.0,1.0,0.0
pipe-omkjt,1,0.0,1.0,0.0
pipe-omnjw,1,1.0,1.0,1.0
pipe-onliv,1,1.0,1.0,1.0
pipe-ooajg,1,0.0,1.0,0.0
pipe-opccl,1,0.0,1.0,0.0
pipe-oredz,1,0.0,1.0,0.0
pipe-oroad,1,0.0,1.0,0.0
pipe-otcfb,1,0.0,1.0,0.0
pipe-otuah,1,0.0,1.0,0.0
pipe-owueg,1,0.0,1.0,0.0
pipe-owzhp,1,1.0,1.0,1.0
pipe-oxhxh,1,0.0,1.0,0.0
pipe-oypjd,1,0.0,1.0,0.0
pipe-ozdma,1,1.0,1.0,1.0
pipe-oziki,1,0.0,1.0,0.0
pipe-pbknf,1,0.0,1.0,0.0
pipe-pbsut,1,0.0,1.0,0.0
pipe-pdxln,1,0.0,1.0,0.0
pipe-peqjr,1,0.0,1.0,0.0
pipe-pfnve,1,0.0,1.0,0.0
pipe-phphh,1,0.0,1.0,0.0
pipe-phtis,1,0.0,1.0,0.0
pipe-piaxl,1,1.0,1.0,1.0
pipe-pjeqy,1,0.0,1.0,0.0
pipe-pjhsi,1,0.0,1.0,0.0
pipe-pjkmx,1,1.0,1.0,1.0
pipe-pjyqa,1,0.0,1.0,0.0
pipe-pmnmj,1,0.0,1.0,0.0
pipe-pmzim,1,0.0,1.0,0.0
pipe-pnjvi,1,0.0,1.0,0.0
pipe-pnqtx,1,0.0,1.0,0.0
pipe-pnsho,1,1.0,1.0,1.0
pipe-pnvzk,1,0.0,1.0,0.0
pipe-pocpk,1,0.0,1.0,0.0
pipe-poqmu,1,1.0,1.0,1.0
pipe-pptgo,1,0.0,1.0,0.0
pipe-ppyfu,1,0.0,1.0,0.0
pipe-pqjpj,1,0.0,1.0,0.0
pipe-prymx,1,1.0,1.0,1.0
pipe-psshg,1,1.0,1.0,1.0
pipe-ptiaw,1,0.0,1.0,0.0
pipe-pulqz,1,0.0,1.0,0.0
pipe-puyme,1,1.0,1.0,1.0
pipe-pwfoh,1,0.0,1.0,0.0
pipe-pwjrh,1,0.0,1.0,0.0
pipe-pxctz,1,0.0,1.0,0.0
pipe-pzcyz,1,0.0,1.0,0.0
pipe-qakim,1,0.0,1.0,0.0
pipe-qbtej,1,1.0,1.0,1.0
pipe-qdawd,1,0.0,1.0,0.0
pipe-qeiww,1,0.0,1.0,0.0
pipe-qfljh,1,0.0,1.0,0.0
pipe-qgfuo,1,0.0,1.0,0.0
pipe-qgrrz,1,1.0,1.0,1.0
pipe-qhuxq,1,0.0,1.0,0.0
pipe-qjjzx,1,0.0,1.0,0.0
pipe-qligy,1,0.0,1.0,0.0
pipe-qqrdf,1,1.0,1.0,1.0
pipe-qqsqu,1,0.0,1.0,0.0
pipe-qrgzc,1,1.0,1.0,1.0
pipe-qrkbm,1,0.0,1.0,0.0
pipe-qrpxc,1,0.0,1.0,0.0
pipe-qtkmr,1,0.0,1.0,0.0
pipe-qufwq,1,0.0,1.0,0.0
pipe-qvajz,1,0.0,1.0,0.0
pipe-qvdxv,1,0.0,1.0,0.0
pipe-qvloy,1,1.0,1.0,1.0
pipe-qvsyn,1,1.0,1.0,1.0
pipe-qwjvk,1,0.0,1.0,0.0
pipe-qwnwl,1,1.0,1.0,1.0
pipe-qwqfx,1,0.0,1.0,0.0
pipe-qwwsk,1,0.0,1.0,0.0
pipe-qxkar,1,0.0,1.0,0.0
pipe-qyfzr,1,0.0,1.0,0.0
pipe-qzump,1,1.0,1.0,1.0
pipe-raeaf,1,0.0,1.0,0.0
pipe-raull,1,1.0,1.0,1.0
pipe-rbftg,1,0.0,1.0,0.0
pipe-rbjuv,1,1.0,1.0,1.0
pipe-rbqch,1,0.0,1.0,0.0
pipe-rcncg,1,0.0,1.0,0.0
pipe-rcnmi,1,0.0,1.0,0.0
pipe-rcolj,1,0.0,1.0,0.0
pipe-reolr,1,0.0,1.0,0.0
pipe-rgtit,1,0.0,1.0,0.0
pipe-rhxam,1,0.0,1.0,0.0
pipe-riamx,1,0.0,1.0,0.0
pipe-rjior,1,0.0,1.0,0.0
pipe-rkfte,1,0.0,1.0,0.0
pipe-rkwft,1,0.0,1.0,0.0
pipe-rlatm,1,0.0,1.0,0.0
pipe-rmalx,1,0.0,1.0,0.0
pipe-rmlqy,1,0.0,1.0,0.0
pipe-rojzq,1,1.0,1.0,1.0
pipe-rorwn,1,0.0,1.0,0.0
pipe-rppam,1,0.0,1.0,0.0
pipe-rqscx,1,1.0,1.0,1.0
pipe-rrbnc,1,0.0,1.0,0.0
pipe-rryir,1,0.0,1.0,0.0
pipe-rrzzy,1,1.0,1.0,1.0
pipe-rsghy,1,0.0,1.0,0.0
pipe-rsycf,1,0.0,1.0,0.0
pipe-rtnos,1,0.0,1.0,0.0
pipe-ruobm,1,0.0,1.0,0.0
pipe-rvaxw,1,0.0,1.0,0.0
pipe-rxnpr,1,0.0,1.0,0.0
pipe-rxvri,1,0.0,1.0,0.0
pipe-rykrn,1,0.0,1.0,0.0
pipe-rylyg,1,0.0,1.0,0.0
pipe-sbhdd,1,0.0,1.0,0.0
pipe-semyz,1,1.0,1.0,1.0
pipe-sfkeq,1,0.0,1.0,0.0
pipe-sfqkd,1,0.0,1.0,0.0
pipe-shati,1,0.0,1.0,0.0
pipe-shtdv,1,0.0,1.0,0.0
pipe-sjidg,1,1.0,1.0,1.0
pipe-sjvyk,1,0.0,1.0,0.0
pipe-skpdz,1,0.0,1.0,0.0
pipe-slgka,1,0.0,1.0,0.0
pipe-sryzv,1,0.0,1.0,0.0
pipe-sscko,1,0.0,1.0,0.0
pipe-stcqg,1,0.0,1.0,0.0
pipe-svmne,1,0.0,1.0,0.0
pipe-swaqr,1,1.0,1.0,1.0
pipe-swvor,1,0.0,1.0,0.0
pipe-sxksj,1,0.0,1.0,0.0
pipe-sxuqf,1,1.0,1.0,1.0
pipe-sygwv,1,1.0,1.0,1.0
pipe-syiep,1,0.0,1.0,0.0
pipe-tblbo,1,0.0,1.0,0.0
pipe-tbtaf,1,0.0,1.0,0.0
pipe-tciha,1,0.0,1.0,0.0
pipe-tclhw,1,0.0,1.0,0.0
pipe-tfzir,1,1.0,1.0,1.0
pipe-tgkxa,1,0.0,1.0,0.0
pipe-thxgy,1,0.0,1.0,0.0
pipe-tkqvz,1,0.0,1.0,0.0
pipe-tkumz,1,0.0,1.0,0.0
pipe-tkwsc,1,1.0,1.0,1.0
pipe-tnuwf,1,0.0,1.0,0.0
pipe-tpdip,1,0.0,1.0,0.0
pipe-tpkhi,1,0.0,1.0,0.0
pipe-trbue,1,1.0,1.0,1.0
pipe-trihm,1,0.0,1.0,0.0
pipe-trrkw,1,0.0,1.0,0.0
pipe-tscrr,1,1.0,1.0,1.0
pipe-tstpp,1,0.0,1.0,0.0
pipe-tsvdm,1,0.0,1.0,0.0
pipe-ttfas,1,0.0,1.0,0.0
pipe-ttqbr,1,0.0,1.0,0.0
pipe-tvhrj,1,1.0,1.0,1.0
pipe-twkhq,1,0.0,1.0,0.0
