pipeline_id,total_tasks,failed_task_count,retry_count,is_production,build_duration_min,pipeline_success,past_failures_5,failure_rate_10
pipe-bcwkh,1,0,0,0,0.0,1,1.0,0.9
pipe-bcxxl,1,0,0,0,0.0,1,0.0,0.9
pipe-bdfoy,1,1,0,0,0.0,0,0.0,0.9
pipe-bdxal,1,1,0,0,0.0,0,1.0,0.8
pipe-begvx,1,0,0,0,0.0,1,2.0,0.7
pipe-bfjrp,1,0,0,0,0.0,1,2.0,0.7
pipe-bfrwo,1,0,0,0,0.0,1,2.0,0.8
pipe-bhedj,1,0,0,0,0.0,1,2.0,0.8
pipe-bhgzt,1,1,0,0,0.0,0,1.0,0.8
pipe-bhogj,1,0,0,0,0.0,1,1.0,0.7
pipe-bicau,1,1,0,0,0.0,0,1.0,0.7
pipe-bihbx,1,1,0,0,0.0,0,2.0,0.6
pipe-bisif,1,0,0,0,0.0,1,3.0,0.5
pipe-bjhnp,1,0,0,0,0.0,1,3.0,0.6
pipe-bjudx,1,1,0,0,0.0,0,2.0,0.7
pipe-bltxq,1,0,0,0,0.0,1,3.0,0.6
pipe-bmqbq,1,0,0,0,0.0,1,2.0,0.6
pipe-bmvzu,1,1,0,0,0.0,0,1.0,0.6
pipe-bmxgt,1,1,0,0,0.0,0,2.0,0.5
pipe-boyln,1,0,0,0,0.0,1,3.0,0.5
pipe-bpdpu,1,0,0,0,0.0,1,2.0,0.5
pipe-brhwg,1,0,0,0,0.0,1,2.0,0.6
pipe-bruex,1,0,0,0,0.0,1,2.0,0.7
pipe-brupi,1,1,0,0,0.0,0,1.0,0.7
pipe-btcbh,1,1,0,0,0.0,0,1.0,0.6
pipe-bthxj,1,0,0,0,0.0,1,2.0,0.6
pipe-btiwd,1,1,0,0,0.0,0,2.0,0.6
pipe-buiwg,1,1,0,0,0.0,0,3.0,0.5
pipe-bvfsz,1,0,0,0,0.0,1,4.0,0.5
pipe-bvgdr,1,0,0,0,0.0,1,3.0,0.6
pipe-bvhxp,1,1,0,0,0.0,0,2.0,0.6
pipe-bvkwc,1,0,0,0,0.0,1,3.0,0.5
pipe-bvlhn,1,0,0,0,0.0,1,2.0,0.5
pipe-cbvgd,1,0,0,0,0.0,1,1.0,0.5
pipe-ccyte,1,1,0,0,0.0,0,1.0,0.6
pipe-cekpm,1,1,0,0,0.0,0,2.0,0.6
pipe-cflpw,1,0,0,0,0.0,1,2.0,0.5
pipe-cfqsw,1,0,0,0,0.0,1,2.0,0.6
pipe-cgxgq,1,1,0,0,0.0,0,2.0,0.7
pipe-cmgpt,1,0,0,0,0.0,1,3.0,0.6
pipe-cnvvo,1,0,0,0,0.0,1,2.0,0.6
pipe-cpqfc,1,0,0,0,0.0,1,1.0,0.7
pipe-crdtv,1,0,0,0,0.0,1,1.0,0.7
pipe-crzdj,1,0,0,0,0.0,1,1.0,0.7
pipe-csnma,1,0,0,0,0.0,1,0.0,0.7
pipe-cuggo,1,0,0,0,0.0,1,0.0,0.8
pipe-cunlf,1,0,0,0,0.0,1,0.0,0.9
pipe-cvrvp,1,0,0,0,0.0,1,0.0,0.9
pipe-cwhdm,1,0,0,0,0.0,1,0.0,0.9
pipe-cxisk,1,0,0,0,0.0,1,0.0,1.0
pipe-cxksw,1,1,0,0,0.0,0,0.0,1.0
pipe-cygxp,1,1,0,0,0.0,0,1.0,0.9
pipe-daqmy,1,1,0,0,0.0,0,2.0,0.8
pipe-dbcfy,1,0,0,0,0.0,1,3.0,0.7
pipe-dbckx,1,0,0,0,0.0,1,3.0,0.7
pipe-dbxus,1,1,0,0,0.0,0,3.0,0.7
pipe-ddfsk,1,0,0,0,0.0,1,3.0,0.6
pipe-ddgcp,1,1,0,0,0.0,0,2.0,0.6
pipe-ddkns,1,0,0,0,0.0,1,2.0,0.5
pipe-ddtut,1,0,0,0,0.0,1,2.0,0.5
pipe-depay,1,0,0,0,0.0,1,2.0,0.5
pipe-dflcy,1,0,0,0,0.0,1,1.0,0.6
pipe-dgsjk,1,0,0,0,0.0,1,1.0,0.7
pipe-dhjlp,1,0,0,0,0.0,1,0.0,0.8
pipe-dipux,1,0,0,0,0.0,1,0.0,0.8
pipe-djqdv,1,0,0,0,0.0,1,0.0,0.8
pipe-dkbte,1,0,0,0,0.0,1,0.0,0.9
pipe-dlxri,1,0,0,0,0.0,1,0.0,0.9
pipe-dmdtp,1,0,0,0,0.0,1,0.0,1.0
pipe-dmmsh,1,0,0,0,0.0,1,0.0,1.0
pipe-dnwgk,1,0,0,0,0.0,1,0.0,1.0
pipe-dorzb,1,0,0,0,0.0,1,0.0,1.0
pipe-dpfbn,1,0,0,0,0.0,1,0.0,1.0
pipe-dpfhg,1,0,0,0,0.0,1,0.0,1.0
pipe-drfjj,1,0,0,0,0.0,1,0.0,1.0
pipe-drzhe,1,0,0,0,0.0,1,0.0,1.0
pipe-dtowh,1,0,0,0,0.0,1,0.0,1.0
pipe-dziyd,1,0,0,0,0.0,1,0.0,1.0
pipe-dzzvj,1,1,0,0,0.0,0,0.0,1.0
pipe-dzzvq,1,0,0,0,0.0,1,1.0,0.9
pipe-eaaot,1,1,0,0,0.0,0,1.0,0.9
pipe-ebtop,1,0,0,0,0.0,1,2.0,0.8
pipe-ecdyu,1,0,0,0,0.0,1,2.0,0.8
pipe-echgs,1,0,0,0,0.0,1,2.0,0.8
pipe-eckkd,1,1,0,0,0.0,0,1.0,0.8
pipe-eckve,1,0,0,0,0.0,1,2.0,0.7
pipe-efmsx,1,0,0,0,0.0,1,1.0,0.7
pipe-efven,1,0,0,0,0.0,1,1.0,0.7
pipe-efzlj,1,0,0,0,0.0,1,1.0,0.7
pipe-ehsld,1,1,0,0,0.0,0,1.0,0.8
pipe-ehubv,1,0,0,0,0.0,1,1.0,0.7
pipe-ehxnj,1,1,0,0,0.0,0,1.0,0.8
pipe-eikbb,1,0,0,0,0.0,1,2.0,0.7
pipe-ekieq,1,0,0,0,0.0,1,2.0,0.7
pipe-ekozy,1,1,0,0,0.0,0,2.0,0.7
pipe-eldsb,1,0,0,0,0.0,1,2.0,0.7
pipe-elvym,1,1,0,0,0.0,0,2.0,0.7
pipe-emhuj,1,0,0,0,0.0,1,2.0,0.6
pipe-emtod,1,1,0,0,0.0,0,2.0,0.6
pipe-enoqb,1,0,0,0,0.0,1,3.0,0.5
pipe-eorjp,1,0,0,0,0.0,1,2.0,0.6
pipe-eprih,1,0,0,0,0.0,1,2.0,0.6
pipe-eqacb,1,0,0,0,0.0,1,1.0,0.7
pipe-eqbnc,1,0,0,0,0.0,1,1.0,0.7
pipe-eqhfq,1,0,0,0,0.0,1,0.0,0.7
pipe-eqjli,1,0,0,0,0.0,1,0.0,0.8
pipe-eqmye,1,0,0,0,0.0,1,0.0,0.8
pipe-eqplq,1,1,0,0,0.0,0,0.0,0.9
pipe-erbjb,1,0,0,0,0.0,1,1.0,0.8
pipe-eripz,1,0,0,0,0.0,1,1.0,0.9
pipe-etemt,1,0,0,0,0.0,1,1.0,0.9
pipe-etvbu,1,0,0,0,0.0,1,1.0,0.9
pipe-etxqd,1,1,0,0,0.0,0,1.0,0.9
pipe-etyke,1,0,0,0,0.0,1,1.0,0.8
pipe-evrcv,1,0,0,0,0.0,1,1.0,0.8
pipe-ewdpq,1,0,0,0,0.0,1,1.0,0.8
pipe-exhjd,1,1,0,0,0.0,0,1.0,0.8
pipe-exulu,1,0,0,0,0.0,1,2.0,0.7
pipe-faaot,1,0,0,0,0.0,1,1.0,0.8
pipe-fbxlh,1,0,0,0,0.0,1,1.0,0.8
pipe-fcfqb,1,1,0,0,0.0,0,1.0,0.8
pipe-fcnji,1,1,0,0,0.0,0,2.0,0.7
pipe-fcrxx,1,0,0,0,0.0,1,2.0,0.6
pipe-fcvme,1,0,0,0,0.0,1,2.0,0.7
pipe-fdeze,1,0,0,0,0.0,1,2.0,0.7
pipe-feknr,1,1,0,0,0.0,0,2.0,0.7
pipe-feouv,1,0,0,0,0.0,1,2.0,0.6
pipe-fewxp,1,0,0,0,0.0,1,1.0,0.7
pipe-fgmdm,1,1,0,0,0.0,0,1.0,0.7
pipe-fhhpq,1,0,0,0,0.0,1,2.0,0.6
pipe-fjqhs,1,0,0,0,0.0,1,2.0,0.6
pipe-fkbtr,1,0,0,0,0.0,1,1.0,0.7
pipe-fksav,1,1,0,0,0.0,0,1.0,0.8
pipe-flqdt,1,0,0,0,0.0,1,2.0,0.7
pipe-fpaga,1,0,0,0,0.0,1,1.0,0.7
pipe-fpdym,1,0,0,0,0.0,1,1.0,0.7
pipe-fqfwb,1,0,0,0,0.0,1,1.0,0.8
pipe-frian,1,0,0,0,0.0,1,1.0,0.8
pipe-frtti,1,0,0,0,0.0,1,0.0,0.8
pipe-fsekj,1,0,0,0,0.0,1,0.0,0.9
pipe-fsnyy,1,1,0,0,0.0,0,0.0,0.9
pipe-ftmwg,1,0,0,0,0.0,1,1.0,0.8
pipe-fulak,1,1,0,0,0.0,0,1.0,0.8
pipe-furpq,1,1,0,0,0.0,0,2.0,0.8
pipe-fvgza,1,0,0,0,0.0,1,3.0,0.7
pipe-fvmaq,1,1,0,0,0.0,0,3.0,0.7
pipe-fxcbz,1,0,0,0,0.0,1,3.0,0.6
pipe-fycwn,1,0,0,0,0.0,1,3.0,0.6
pipe-fykly,1,0,0,0,0.0,1,2.0,0.6
pipe-fylhm,1,0,0,0,0.0,1,1.0,0.6
pipe-fysjp,1,0,0,0,0.0,1,1.0,0.6
pipe-fzeaz,1,0,0,0,0.0,1,0.0,0.7
pipe-fzefn,1,1,0,0,0.0,0,0.0,0.7
pipe-fzhky,1,0,0,0,0.0,1,1.0,0.7
pipe-gaygh,1,0,0,0,0.0,1,1.0,0.8
pipe-gbnnv,1,0,0,0,0.0,1,1.0,0.8
pipe-gddnf,1,0,0,0,0.0,1,1.0,0.9
pipe-gdihx,1,1,0,0,0.0,0,1.0,0.9
pipe-gdvbk,1,0,0,0,0.0,1,1.0,0.8
pipe-ggakn,1,0,0,0,0.0,1,1.0,0.8
pipe-ggqby,1,1,0,0,0.0,0,1.0,0.8
pipe-ghtyq,1,0,0,0,0.0,1,2.0,0.7
pipe-gioqd,1,0,0,0,0.0,1,2.0,0.7
pipe-gjkfx,1,1,0,0,0.0,0,1.0,0.8
pipe-gkiyy,1,0,0,0,0.0,1,2.0,0.7
pipe-glsyk,1,1,0,0,0.0,0,2.0,0.7
pipe-gmlrt,1,0,0,0,0.0,1,2.0,0.6
pipe-gnrle,1,0,0,0,0.0,1,2.0,0.6
pipe-gnwzj,1,1,0,0,0.0,0,2.0,0.7
pipe-gnyji,1,1,0,0,0.0,0,2.0,0.6
pipe-gpbvd,1,0,0,0,0.0,1,3.0,0.5
pipe-gtivx,1,1,0,0,0.0,0,2.0,0.6
pipe-gtrbk,1,0,0,0,0.0,1,3.0,0.5
pipe-gtskt,1,0,0,0,0.0,1,3.0,0.5
pipe-gucow,1,1,0,0,0.0,0,2.0,0.6
pipe-guzhf,1,1,0,0,0.0,0,2.0,0.5
pipe-gvfox,1,1,0,0,0.0,0,3.0,0.5
pipe-gvmil,1,0,0,0,0.0,1,3.0,0.4
pipe-gvqcj,1,1,0,0,0.0,0,3.0,0.4
pipe-gvzes,1,0,0,0,0.0,1,4.0,0.4
pipe-gwble,1,0,0,0,0.0,1,3.0,0.5
pipe-gwmyg,1,1,0,0,0.0,0,2.0,0.5
pipe-gzwus,1,0,0,0,0.0,1,2.0,0.5
pipe-gzyxi,1,0,0,0,0.0,1,2.0,0.5
pipe-hbqzl,1,1,0,0,0.0,0,1.0,0.5
pipe-hbtil,1,0,0,0,0.0,1,2.0,0.5
pipe-hdkej,1,0,0,0,0.0,1,2.0,0.6
pipe-hdkns,1,0,0,0,0.0,1,1.0,0.7
pipe-hfgua,1,1,0,0,0.0,0,1.0,0.7
pipe-hfllf,1,0,0,0,0.0,1,2.0,0.7
pipe-hhcif,1,0,0,0,0.0,1,1.0,0.7
pipe-hhztk,1,0,0,0,0.0,1,1.0,0.7
pipe-hirxa,1,0,0,0,0.0,1,1.0,0.8
pipe-hjahz,1,0,0,0,0.0,1,1.0,0.8
pipe-hkjcc,1,1,0,0,0.0,0,0.0,0.8
pipe-hlkyb,1,0,0,0,0.0,1,1.0,0.8
pipe-hovbp,1,1,0,0,0.0,0,1.0,0.8
pipe-hpxpo,1,0,0,0,0.0,1,2.0,0.7
pipe-hrino,1,0,0,0,0.0,1,2.0,0.7
pipe-hunyi,1,0,0,0,0.0,1,2.0,0.8
pipe-huvoq,1,0,0,0,0.0,1,1.0,0.8
pipe-hwkwo,1,1,0,0,0.0,0,1.0,0.8
pipe-hwoev,1,1,0,0,0.0,0,1.0,0.7
pipe-hyged,1,1,0,0,0.0,0,2.0,0.6
pipe-hyugf,1,1,0,0,0.0,0,3.0,0.5
pipe-hzisz,1,0,0,0,0.0,1,4.0,0.5
pipe-icgza,1,1,0,0,0.0,0,4.0,0.5
pipe-icogq,1,0,0,0,0.0,1,4.0,0.5
pipe-idczi,1,0,0,0,0.0,1,3.0,0.5
pipe-iecxn,1,0,0,0,0.0,1,2.0,0.5
pipe-ifjqp,1,0,0,0,0.0,1,1.0,0.5
pipe-ifurh,1,1,0,0,0.0,0,1.0,0.5
pipe-igkvd,1,0,0,0,0.0,1,1.0,0.5
pipe-ihqvu,1,0,0,0,0.0,1,1.0,0.6
pipe-iicrt,1,0,0,0,0.0,1,1.0,0.7
pipe-iiozj,1,0,0,0,0.0,1,1.0,0.8
pipe-ikatf,1,0,0,0,0.0,1,1.0,0.8
pipe-ikihu,1,0,0,0,0.0,1,0.0,0.9
pipe-ikiyn,1,1,0,0,0.0,0,0.0,0.9
pipe-ikqzx,1,0,0,0,0.0,1,1.0,0.8
pipe-ilchp,1,0,0,0,0.0,1,1.0,0.8
pipe-impdm,1,0,0,0,0.0,1,1.0,0.8
pipe-inlah,1,0,0,0,0.0,1,1.0,0.9
pipe-iolmh,1,0,0,0,0.0,1,1.0,0.9
pipe-iqyab,1,0,0,0,0.0,1,0.0,0.9
pipe-isyrc,1,0,0,0,0.0,1,0.0,0.9
pipe-itcoy,1,0,0,0,0.0,1,0.0,0.9
pipe-iuarg,1,0,0,0,0.0,1,0.0,0.9
pipe-iuilg,1,0,0,0,0.0,1,0.0,0.9
pipe-iujqn,1,1,0,0,0.0,0,0.0,1.0
pipe-ivuyn,1,0,0,0,0.0,1,1.0,0.9
pipe-iwyow,1,0,0,0,0.0,1,1.0,0.9
pipe-ixaqa,1,0,0,0,0.0,1,1.0,0.9
pipe-ixswj,1,0,0,0,0.0,1,1.0,0.9
pipe-ixwlz,1,0,0,0,0.0,1,1.0,0.9
pipe-iyrcg,1,0,0,0,0.0,1,0.0,0.9
pipe-jakwz,1,1,0,0,0.0,0,0.0,0.9
pipe-jback,1,1,0,0,0.0,0,1.0,0.8
pipe-jdtsm,1,0,0,0,0.0,1,2.0,0.7
pipe-jebcc,1,0,0,0,0.0,1,2.0,0.7
pipe-jeoxp,1,1,0,0,0.0,0,2.0,0.8
pipe-jfkqt,1,0,0,0,0.0,1,3.0,0.7
pipe-jfyib,1,0,0,0,0.0,1,2.0,0.7
pipe-jgeje,1,1,0,0,0.0,0,1.0,0.7
pipe-jgqpw,1,0,0,0,0.0,1,2.0,0.6
pipe-jguia,1,0,0,0,0.0,1,2.0,0.6
pipe-jgvxp,1,1,0,0,0.0,0,1.0,0.6
pipe-jhzyp,1,0,0,0,0.0,1,2.0,0.6
pipe-jjxvq,1,0,0,0,0.0,1,2.0,0.7
pipe-jknoh,1,0,0,0,0.0,1,1.0,0.7
pipe-jmcgk,1,0,0,0,0.0,1,1.0,0.7
pipe-jnlet,1,0,0,0,0.0,1,1.0,0.8
pipe-jogtp,1,0,0,0,0.0,1,0.0,0.8
pipe-jsoiy,1,1,0,0,0.0,0,0.0,0.8
pipe-jssqd,1,0,0,0,0.0,1,1.0,0.8
pipe-jvsxg,1,0,0,0,0.0,1,1.0,0.8
pipe-jxeyq,1,0,0,0,0.0,1,1.0,0.8
pipe-jxsne,1,0,0,0,0.0,1,1.0,0.9
pipe-jxwqk,1,0,0,0,0.0,1,1.0,0.9
pipe-jymhf,1,0,0,0,0.0,1,0.0,0.9
pipe-jyxnb,1,0,0,0,0.0,1,0.0,0.9
pipe-kaexx,1,0,0,0,0.0,1,0.0,0.9
pipe-kapec,1,0,0,0,0.0,1,0.0,0.9
pipe-kdguo,1,0,0,0,0.0,1,0.0,0.9
pipe-kdgxc,1,0,0,0,0.0,1,0.0,1.0
pipe-kdvxb,1,0,0,0,0.0,1,0.0,1.0
pipe-keewh,1,1,0,0,0.0,0,0.0,1.0
pipe-kefof,1,0,0,0,0.0,1,1.0,0.9
pipe-ketma,1,0,0,0,0.0,1,1.0,0.9
pipe-kgyvb,1,0,0,0,0.0,1,1.0,0.9
pipe-khqes,1,0,0,0,0.0,1,1.0,0.9
pipe-khyrz,1,0,0,0,0.0,1,1.0,0.9
pipe-kiayp,1,0,0,0,0.0,1,0.0,0.9
pipe-kiguy,1,1,0,0,0.0,0,0.0,0.9
pipe-kjxjg,1,0,0,0,0.0,1,1.0,0.8
pipe-kkjqy,1,0,0,0,0.0,1,1.0,0.8
pipe-kkpfy,1,0,0,0,0.0,1,1.0,0.8
pipe-kkpun,1,1,0,0,0.0,0,1.0,0.9
pipe-kkxpt,1,0,0,0,0.0,1,2.0,0.8
pipe-kkynn,1,0,0,0,0.0,1,1.0,0.8
pipe-kkzaj,1,0,0,0,0.0,1,1.0,0.8
pipe-klzmz,1,1,0,0,0.0,0,1.0,0.8
pipe-konub,1,0,0,0,0.0,1,2.0,0.7
pipe-krbcs,1,0,0,0,0.0,1,1.0,0.7
pipe-krbsz,1,0,0,0,0.0,1,1.0,0.8
pipe-krfla,1,0,0,0,0.0,1,1.0,0.8
pipe-kruol,1,1,0,0,0.0,0,1.0,0.8
pipe-kseff,1,0,0,0,0.0,1,1.0,0.7
pipe-ksrqs,1,1,0,0,0.0,0,1.0,0.8
pipe-ktasf,1,0,0,0,0.0,1,2.0,0.7
pipe-ktyxw,1,0,0,0,0.0,1,2.0,0.7
pipe-kusyt,1,0,0,0,0.0,1,2.0,0.7
pipe-kuvqr,1,0,0,0,0.0,1,1.0,0.8
pipe-kwdez,1,0,0,0,0.0,1,1.0,0.8
pipe-kyfqx,1,1,0,0,0.0,0,0.0,0.8
pipe-kykdv,1,0,0,0,0.0,1,1.0,0.7
pipe-kyknm,1,1,0,0,0.0,0,1.0,0.7
pipe-kzgef,1,0,0,0,0.0,1,2.0,0.7
pipe-lamzr,1,0,0,0,0.0,1,2.0,0.7
pipe-latur,1,0,0,0,0.0,1,2.0,0.8
pipe-lbxtz,1,1,0,0,0.0,0,1.0,0.8
pipe-lcrys,1,0,0,0,0.0,1,2.0,0.7
pipe-ldebl,1,0,0,0,0.0,1,1.0,0.7
pipe-ldfhw,1,1,0,0,0.0,0,1.0,0.7
pipe-ldwwn,1,1,0,0,0.0,0,2.0,0.6
pipe-ledgr,1,0,0,0,0.0,1,3.0,0.6
pipe-lelrv,1,0,0,0,0.0,1,2.0,0.6
pipe-lfwrs,1,0,0,0,0.0,1,2.0,0.7
pipe-lidao,1,0,0,0,0.0,1,2.0,0.7
pipe-llhrk,1,0,0,0,0.0,1,1.0,0.7
pipe-llkvt,1,1,0,0,0.0,0,0.0,0.7
pipe-lllih,1,0,0,0,0.0,1,1.0,0.7
pipe-llrgx,1,1,0,0,0.0,0,1.0,0.7
pipe-lnhru,1,1,0,0,0.0,0,2.0,0.6
pipe-lpcgq,1,0,0,0,0.0,1,3.0,0.6
pipe-lphmg,1,0,0,0,0.0,1,3.0,0.7
pipe-lqmnl,1,1,0,0,0.0,0,2.0,0.7
pipe-lrltq,1,1,0,0,0.0,0,3.0,0.6
pipe-lumxr,1,0,0,0,0.0,1,3.0,0.5
pipe-lvqjg,1,0,0,0,0.0,1,2.0,0.5
pipe-lypqt,1,0,0,0,0.0,1,2.0,0.5
pipe-lzewt,1,0,0,0,0.0,1,2.0,0.6
pipe-maabm,1,0,0,0,0.0,1,1.0,0.6
pipe-marwy,1,1,0,0,0.0,0,0.0,0.7
pipe-mbxgq,1,0,0,0,0.0,1,1.0,0.7
pipe-mgldr,1,0,0,0,0.0,1,1.0,0.7
pipe-mhsbn,1,0,0,0,0.0,1,1.0,0.7
pipe-mjnuc,1,0,0,0,0.0,1,1.0,0.8
pipe-mjyrf,1,0,0,0,0.0,1,1.0,0.9
pipe-mkyet,1,0,0,0,0.0,1,0.0,0.9
pipe-mkyye,1,0,0,0,0.0,1,0.0,0.9
pipe-mlcoy,1,1,0,0,0.0,0,0.0,0.9
pipe-mlfqc,1,0,0,0,0.0,1,1.0,0.8
pipe-mmgqn,1,0,0,0,0.0,1,1.0,0.8
pipe-mmgxj,1,0,0,0,0.0,1,1.0,0.9
pipe-mogid,1,0,0,0,0.0,1,1.0,0.9
pipe-mooze,1,0,0,0,0.0,1,1.0,0.9
pipe-mpeen,1,1,0,0,0.0,0,0.0,0.9
pipe-mpjwd,1,1,0,0,0.0,0,1.0,0.8
pipe-mqlyu,1,0,0,0,0.0,1,2.0,0.7
pipe-mrbar,1,0,0,0,0.0,1,2.0,0.7
pipe-mtqtg,1,0,0,0,0.0,1,2.0,0.7
pipe-muasr,1,0,0,0,0.0,1,2.0,0.8
pipe-mulby,1,1,0,0,0.0,0,1.0,0.8
pipe-muvcf,1,0,0,0,0.0,1,1.0,0.7
pipe-mvjqp,1,0,0,0,0.0,1,1.0,0.7
pipe-mwhtw,1,0,0,0,0.0,1,1.0,0.7
pipe-mwkkl,1,1,0,0,0.0,0,1.0,0.7
pipe-mycfh,1,0,0,0,0.0,1,2.0,0.7
pipe-mzegz,1,0,0,0,0.0,1,1.0,0.8
pipe-mzfhh,1,0,0,0,0.0,1,1.0,0.8
pipe-nasiy,1,0,0,0,0.0,1,1.0,0.8
pipe-nbsag,1,0,0,0,0.0,1,1.0,0.8
pipe-nbvic,1,1,0,0,0.0,0,0.0,0.8
pipe-nbzxs,1,0,0,0,0.0,1,1.0,0.8
pipe-ncamq,1,0,0,0,0.0,1,1.0,0.8
pipe-nceyj,1,0,0,0,0.0,1,1.0,0.8
pipe-nfsvv,1,0,0,0,0.0,1,1.0,0.8
pipe-ngdoz,1,0,0,0,0.0,1,1.0,0.9
pipe-ngfve,1,0,0,0,0.0,1,0.0,0.9
pipe-nhzlo,1,1,0,0,0.0,0,0.0,0.9
pipe-nkshw,1,1,0,0,0.0,0,1.0,0.8
pipe-nlcox,1,0,0,0,0.0,1,2.0,0.7
pipe-nlidl,1,0,0,0,0.0,1,2.0,0.7
pipe-nmsde,1,0,0,0,0.0,1,2.0,0.8
pipe-nmzfe,1,0,0,0,0.0,1,2.0,0.8
pipe-nnauq,1,0,0,0,0.0,1,1.0,0.8
pipe-nndcd,1,1,0,0,0.0,0,0.0,0.8
pipe-npaee,1,1,0,0,0.0,0,1.0,0.7
pipe-npjqk,1,0,0,0,0.0,1,2.0,0.6
pipe-npuag,1,0,0,0,0.0,1,2.0,0.6
pipe-nqfnw,1,0,0,0,0.0,1,2.0,0.7
pipe-nrfvq,1,0,0,0,0.0,1,2.0,0.8
pipe-nsewk,1,0,0,0,0.0,1,1.0,0.8
pipe-ntpur,1,0,0,0,0.0,1,0.0,0.8
pipe-nueqk,1,0,0,0,0.0,1,0.0,0.8
pipe-nwxga,1,0,0,0,0.0,1,0.0,0.8
pipe-nxbsu,1,0,0,0,0.0,1,0.0,0.8
pipe-nyhmd,1,0,0,0,0.0,1,0.0,0.9
pipe-nyiih,1,0,0,0,0.0,1,0.0,1.0
pipe-nywyx,1,0,0,0,0.0,1,0.0,1.0
pipe-nzgud,1,1,0,0,0.0,0,0.0,1.0
pipe-oakjy,1,0,0,0,0.0,1,1.0,0.9
pipe-oazhv,1,0,0,0,0.0,1,1.0,0.9
pipe-objxe,1,0,0,0,0.0,1,1.0,0.9
pipe-obutp,1,0,0,0,0.0,1,1.0,0.9
pipe-occta,1,0,0,0,0.0,1,1.0,0.9
pipe-ocmjb,1,0,0,0,0.0,1,0.0,0.9
pipe-ocvyx,1,1,0,0,0.0,0,0.0,0.9
pipe-oczyt,1,0,0,0,0.0,1,1.0,0.8
pipe-odylu,1,1,0,0,0.0,0,1.0,0.8
pipe-oegqt,1,0,0,0,0.0,1,2.0,0.7
pipe-oence,1,0,0,0,0.0,1,2.0,0.8
pipe-ofkhs,1,1,0,0,0.0,0,2.0,0.8
pipe-ofrbk,1,0,0,0,0.0,1,2.0,0.7
pipe-ogaxw,1,0,0,0,0.0,1,2.0,0.7
pipe-ogcag,1,1,0,0,0.0,0,1.0,0.7
pipe-ohjdl,1,0,0,0,0.0,1,2.0,0.6
pipe-ohxgh,1,0,0,0,0.0,1,2.0,0.6
pipe-oicro,1,1,0,0,0.0,0,1.0,0.7
pipe-ojhnz,1,0,0,0,0.0,1,2.0,0.6
