"Title","Year","Venue","Domain","Type","Language","Source","Presentation","Artifacts"
"A Framework and DataSet for Bugs in Ethereum Smart Contracts.","2020","ICSME","Blockchain","Functional;Performance;Security","Solidity","Other Datasets","File","https://github.com/xf97/JiuZhou"
"A GitHub-Based Data Collection Method for Software Defect Prediction.","2019","DSA","General","Functional","","Version Control","Metadata","https://github.com/feiwww/GHPR_dataset;https://github.com/HickeyHsu/GHPR_dataset"
"A Large-Scale Empirical Study of Compiler Errors in Continuous Integration","2019","FSE","General","Functional","Java","CI/CD","","https://compilererrorinci.github.io"
"A Large-Scale Empirical Study of Real-Life Performance Issues in Open Source Projects","2023","TSE","General","Performance","C/C++;Java;Python","Issue Reports;Version Control","Metadata","https://doi.org/10.5281/zenodo.6383167"
"A manually-curated dataset of fixes to vulnerabilities of open-source software.","2019","MSR","General","Security","","Issue Reports","Metadata","https://github.com/SAP/project-kb/tree/main/MSR2019"
"A Public Unified Bug Dataset for Java.","2018","PROMISE","General","Functional","Java","Other Datasets","Snippet","https://www.inf.u-szeged.hu/~ferenc/papers/UnifiedBugDataSet/"
"A qualitative study on performance bugs.","2012","MSR","Compilers & Runtimes","Performance","C/C++","Issue Reports","",""
"A Repository-Level Dataset For Detecting, Classifying and Repairing Software Vulnerabilities.","2024","ICSE","General","Security","C/C++;Java;Python","Version Control;Vulnerability Datasets","Snippet","https://github.com/Eshe0922/ReposVul"
"A Software Vulnerability Dataset of Large Open Source C/C++ Projects.","2022","PRDC","General","Security","C/C++","Vulnerability Datasets","File","https://github.com/vulnerability-dataset/software-vulnerability-database"
"Actor concurrency bugs: a comprehensive study on symptoms, root causes, API usages, and differences.","2020","OOPSLA","General","Concurrency","Java;Scala","Q&A Forums","Metadata","https://mbagherz.bitbucket.io/lab-correct-software/data/actor-bugs-so-gh/"
"An Automated and Flexible Multilingual Bug-Fix Dataset Construction System.","2023","ASE","General","Security","C#;C/C++;Java;JavaScript;Python","Version Control","Snippet","https://github.com/kwz219/MBF-Collector;https://mega.nz/folder/7Il13BRJ#U8Q8x2Etcvo-bhRsSa9hbQ"
"An automatically created novel bug dataset and its validation in bug prediction.","2020","JSS","General","Functional","Java","Issue Reports","Metadata","http://www.inf.u-szeged.hu/~ferenc/papers/BugHunterDataSet/;http://dx.doi.org/10.17632/8tx7kjbkg4.2"
"An Empirical Study of Bugs in Quantum Machine Learning Frameworks.","2023","QSW","Machine Learning;Quantum Computing","Functional;Performance","C/C++;Python","Issue Reports","Metadata","https://github.com/Z-928/QML-platform-bugs"
"An Empirical Study of Bugs in WebAssembly Compilers","2021","ASE","Compilers & Runtimes","Functional","Cpp;JavaScript;Rust","Issue Reports;Version Control","Metadata","https://wasm-compiler-bugs.github.io/"
"An Empirical Study of Functional Bugs in Android Apps.","2023","ISSTA","Mobile Apps","Functional","Java;Kotlin","Issue Reports","Metadata","https://github.com/Android-Functional-bugs-study/home;https://onedrive.live.com/?authkey=%21APo1oKkK1QLui5c&id=B12B40F95B677EA1%21298&cid=B12B40F95B677EA1"
"An Empirical Study of High Performance Computing (HPC) Performance Bugs.","2023","MSR","Scientific Computing","Performance","C/C++","Version Control","Metadata","https://figshare.com/s/00c24aae3177e45db7ab"
"An Empirical Study on API-Misuse Bugs in Open-Source C Programs.","2019","COMPSAC","General","Functional","C/C++","Version Control","Metadata","https://github.com/imchecker/compsac19"
"An empirical study on bugs in JavaScript engines.","2023","IST","Compilers & Runtimes","Functional","C/C++;JavaScript","Issue Reports","Metadata","https://github.com/njuptw/Empirical-Study-V8;https://github.com/njuptw/Empirical-Study-SpiderMonkey;https://github.com/njuptw/Empirical-Study-Chakra"
"An Empirical Study on Bugs in Rust Programming Language.","2024","QRS","Compilers & Runtimes","Functional;Performance;Security","Rust","Issue Reports","",""
"An Empirical Study on Bugs Inside PyTorch: A Replication Study","2023","ICSME","Machine Learning","Functional;Performance","C/C++;Python","Issue Reports","Metadata","https://github.com/datasetsharing/pytorchbugdataset"
"An Empirical Study on Common Bugs in Deep Learning Compilers.","2021","ISSRE","Compilers & Runtimes;Machine Learning","Functional;Performance","C/C++;Python","Issue Reports","","https://sites.google.com/view/dlcompiler-common-bugs/bug-report-information"
"An Empirical Study on Crash Recovery Bugs in Large-Scale Distributed Systems","2018","FSE","Cloud Computing","Functional","Java","Issue Reports;Other Datasets","","http://www.tcse.cn/~wsdou/project/CREB"
"An Empirical Study on Critical Blocking Bugs.","2020","ICPC","General","Other","","Issue Reports","",""
"An Empirical Study on Deployment Faults of Deep Learning Based Mobile Applications.","2021","ICSE","Machine Learning;Mobile Apps","Other","Java;Python","Issue Reports;Q&A Forums","Metadata","https://github.com/chenzhenpeng18/icse2021"
"An Empirical Study on Kubernetes Operator Bugs.","2024","ISSTA","Cloud Computing","Functional","Go;Java","Issue Reports","Metadata","https://zenodo.org/records/13340387"
"An Empirical Study on Learning Bug-Fixing Patches in the Wild via Neural Machine Translation","2019","TOSEM","General","Functional","Java","Version Control","Metadata","https://sites.google.com/view/learning-fixes"
"An Empirical Study on Numerical Bugs in Deep Learning Programs.","2022","ASE","Machine Learning","Functional","Python","Issue Reports;Q&A Forums","Metadata","https://github.com/Jacob-yen/numerical_bugs_in_dl_programs"
"An empirical study on real bug fixes from solidity smart contract projects.","2023","JSS","Blockchain","Functional;Security","Solidity","Version Control","Metadata","https://github.com/echowyl8/Real-Bug-Fixes-in-Smart-Contracts-Projects"
"An Empirical Study on Regular Expression Bugs.","2020","MSR","General","Functional;Performance","Java;JavaScript;Python","Version Control","Metadata","https://figshare.com/s/802eb74c2e722ca5d8df"
"An empirical study on TensorFlow program bugs.","2018","ISSTA","Machine Learning","Functional;Performance","Python","Issue Reports;Q&A Forums","Project","https://github.com/ForeverZyh/TensorFlow-Program-Bugs"
"An Empirical Study on the Characteristics of Database Access Bugs in Java Applications.","2024","TOSEM","Databases","Functional;Performance","Java","Issue Reports","Metadata","https://github.com/SPEAR-SE/empirical-db-issue-data"
"An exploratory study of autopilot software bugs in unmanned aerial vehicles.","2021","FSE","Autonomous Systems","Functional;Performance","C/C++","Issue Reports","Metadata","https://zenodo.org/records/5090536"
"Analysis of Software Vulnerabilities Introduced in Programming Submissions Across Curriculum at Two Higher Education Institutions","2024","FIE","General","Security","C#;Java","assignments","Metadata","https://github.com/andrew101sanders/FIE-2024"
"Andror2: A Dataset of Manually-Reproduced Bug Reports for Android apps.","2021","MSR","Mobile Apps","Functional","Java","Issue Reports","Binary","https://github.com/SageSELab/AndroR2;https://doi.org/10.5281/zenodo.4646313"
"ApacheJIT: A Large Dataset for Just-In-Time Defect Prediction.","2022","MSR","General","Functional","Java","Issue Reports","Metadata","https://zenodo.org/records/5907847"
"BEARS: An Extensible Java Bug Benchmark for Automatic Program Repair Studies.","2019","SANER","General","Functional","Java","CI/CD","Framework","https://github.com/bears-bugs/bears-benchmark;https://bears-bugs.github.io/bears-benchmark"
"BegBunch: benchmarking for C bug detection tools","2009","ISSTA","General","Functional","C/C++","Vulnerability Datasets","","http://research.sun.com/projects/downunder/projects/begbunch"
"BOSS: A dataset to train ML-based systems to repair programs with out-of-bounds write flaws","2024","APR","General","Security","C/C++","synthetic","",""
"Bug Analysis in Jupyter Notebook Projects: An Empirical Study.","2024","TOSEM","Computational Notebooks","Functional","Python","Q&A Forums;Version Control","Metadata","https://github.com/bugsjupyterempiricalstudy/BugJupyterPaper"
"BugBench: Benchmarks for Evaluating Bug Detection Tools","2005","Bugs","General","Concurrency;Functional;Performance","C/C++","","",""
"BugBuilder: An Automated Approach to Building Bug Repository.","2023","TSE","General","Functional","Java","Issue Reports;Version Control","Framework","https://github.com/liuhuigmail/BugBuilder;https://github.com/liuhuigmail/GrowingBugRepository"
"BugHub: A Large Scale Issue Report Dataset.","2024","EDCC","General","Functional","C#;C/C++;Java;PHP","Issue Reports","Metadata","https://zenodo.org/doi/10.5281/zenodo.10028952"
"BugMiner: Automating Precise Bug Dataset Construction by Code Evolution History Mining.","2023","ASE","General","Functional","Java","Version Control","","https://bugminer.github.io/;https://github.com/SongXueZhi/BugMiner"
"Bugs in machine learning-based systems: a faultload benchmark.","2023","ESE","Machine Learning","Functional","Python","Q&A Forums;Version Control","Project","http://defect4aitesting.soccerlab.polymtl.ca/;https://zenodo.org/records/8376824"
"Bugs in Pods: Understanding Bugs in Container Runtime Systems.","2024","ISSTA","Compilers & Runtimes","Functional;Performance;Security","C/C++;Go","Issue Reports;Version Control","Metadata","https://sites.google.com/view/understand-bugs-in-crs;https://github.com/fish98/CRS_Bugs"
"Bugs in Quantum computing platforms: an empirical study.","2022","OOPSLA","Quantum Computing","Functional","C#;C/C++;F#;Python;Q#","Version Control","Metadata","https://github.com/MattePalte/Bugs-Quantum-Computing-Platforms;https://zenodo.org/records/5834281"
"Bugs.jar: a large-scale, diverse dataset of real-world Java bugs.","2018","MSR","General","Functional","Java","Issue Reports","Framework","https://github.com/bugs-dot-jar/bugs-dot-jar"
"Bugs4Q: A benchmark of existing bugs to enable controlled testing and debugging studies for quantum programs.","2023","JSS","Quantum Computing","Functional","Python","Issue Reports;Q&A Forums","File","https://github.com/Z-928/Bugs4Q-Framework"
"BUGSC++: A Highly Usable Real World Defect Benchmark for C/C++.","2023","ASE","General","Functional;Security","C/C++","Version Control","Framework","https://github.com/Suresoft-GLaDOS/bugscpp"
"BugsInPy: a database of existing bugs in Python programs to enable controlled testing and debugging studies.","2020","FSE","General","Functional","Python","Version Control","Framework","https://github.com/soarsmu/BugsInPy"
"BUGSJS: a benchmark and taxonomy of JavaScript bugs.","2021","STVR","General","Functional;Performance;Security","JavaScript","Version Control","Framework","https://github.com/BugsJS/bug-dataset"
"BUGSPHP: A dataset for Automated Program Repair in PHP.","2024","MSR","General","Functional;Performance;Security","PHP","Version Control","Framework","https://github.com/bugsphp/bugsPHP"
"BugSwarm: mining and continuously growing a dataset of reproducible failures and fixes.","2019","ICSE","General","Functional","Java;Python","CI/CD","Framework","https://www.bugswarm.org"
"BUMP: A Benchmark of Reproducible Breaking Dependency Updates","2024","SANER","General","Functional","Java","CI/CD","Framework","https://github.com/chains-project/bump"
"Characterizing and Detecting WebAssembly Runtime Bugs.","2024","TOSEM","Compilers & Runtimes","Functional","C/C++;Rust","Issue Reports;Q&A Forums","Metadata","https://github.com/bnmcxlzd/TOSEM2023_Complementary_materials"
"Codeflaws: a programming competition benchmark for evaluating automated program repair tools.","2017","ICSE","General","Functional","C/C++","Coding Assignments","File","http://codeflaws.github.io/;http://www.comp.nus.edu.sg/~release/codeflaws/codeflaws.tar.gz;https://github.com/codeflaws/codeflaws/"
"COMPSUITE: A Dataset of Java Library Upgrade Incompatibility Issues","2023","ASE","General","Functional","Java","Version Control","Framework","https://github.com/compsuite-team/compsuite"
"ConDefects: A New Dataset to Address the Data Leakage Concern for LLM-based Fault Localization and Program Repair.","2024","FSE","General","Functional","Java;Python","Coding Assignments","Framework","https://github.com/appmlk/ConDefects;https://1drv.ms/u/s!Auo_FVX2RDMxn6g_jFpzEGOjScia7Q?e=lgOeyi;https://pan.baidu.com/s/1YsTYWMfV3L16irItGJQlmA?pwd=hdlz"
"Continuous defect prediction: the idea and a related dataset.","2017","MSR","General","Functional","Java;Ruby","CI/CD","Metadata","https://figshare.com/s/302814fa28cb1fbde705;https://figshare.com/s/394e2f8d7dc6da405721"
"CrashJS: A NodeJS Benchmark for Automated Crash Reproduction","2024","MSR","General","Functional","JavaScript","Issue Reports;Other Datasets","Metadata","https://zenodo.org/doi/10.5281/zenodo.10530514"
"CrossVul: a cross-language vulnerability dataset with commit data.","2021","FSE","General","Security","","Version Control;Vulnerability Datasets","Metadata","https://doi.org/10.5281/zenodo.4734050;https://doi.org/10.5281/zenodo.4741963"
"CVE-assisted large-scale security bug report dataset construction method.","2019","JSS","General","Security","","Issue Reports","Metadata","https://github.com/wuxiaoxue/cve-assisted"
"CVEjoin: An Information Security Vulnerability and Threat Intelligence Dataset.","2023","AINA","General","Security","","Vulnerability Datasets","Metadata","https://figshare.com/articles/dataset/CVEjoin_A_Security_Dataset_of_Vulnerability_and_Threat_Intelligence_Information/21586923;https://github.com/rodrigoparente/cvejoin-security-dataset"
"D2A: A Dataset Built for AI-Based Vulnerability Detection Methods Using Differential Analysis.","2021","ICSE","General","Security","C/C++","Version Control","Snippet","https://github.com/ibm/D2A;https://developer.ibm.com/exchanges/data/all/d2a/"
"DebugBench: Evaluating Debugging Capability of Large Language Models","2024","ACL","General","Functional","C/C++;Java;Python","Coding Assignments;Synthesis","Framework","https://github.com/thunlp/DebugBench"
"Deep Learning-Based Vulnerable Function Detection: A Benchmark.","2019","ICICS","General","Security","C/C++","Vulnerability Datasets","Snippet","https://drive.google.com/file/d/1KoNO40ynaoSSSlrlSSXe6PJ7FmOuAA4M/view;https://github.com/DanielLin1986/Function-level-Vulnerability-Detection"
"Defectors: A Large, Diverse Python Dataset for Defect Prediction.","2023","MSR","General","Functional","Python","Version Control","Metadata","https://doi.org/10.5281/zenodo.7708984"
"Defects4J: a database of existing faults to enable controlled testing studies for Java programs.","2014","ISSTA","General","Functional","Java","Issue Reports;Version Control","Framework","https://github.com/rjust/defects4j"
"Defexts: a curated dataset of reproducible real-world bugs for modern JVM languages.","2019","ICSE","General","Functional","Groovy;Kotlin","Version Control","Framework","https://github.com/ProdigyXable/defexts;https://drive.google.com/open?id=1FhvYSgZ590Nkt36wbgsCFEb2lupXMov-;https://drive.google.com/open?id=1riiU-nfhcc0A6jX0dD5dLL2tcE4pKyzx;https://drive.google.com/open?id=1ZM8r3qPbHi593PVPMll4UL3iPsGnLoqI"
"Defining Smart Contract Defects on Ethereum.","2022","TSE","Blockchain","Functional;Security","Solidity","Q&A Forums","Metadata","https://github.com/Jiachi-Chen/TSE-ContractDefects"
"Denchmark: A Bug Benchmark of Deep Learning-related Software.","2021","MSR","Machine Learning","Functional","C/C++;Python","Issue Reports","Metadata","https://github.com/RosePasta/Denchmark_BRs"
"DiverseVul: A New Vulnerable Source Code Dataset for Deep Learning Based Vulnerability Detection.","2023","RAID","General","Security","C/C++","Version Control","Snippet","https://github.com/wagner-group/diversevul;https://drive.google.com/file/d/12IWKhmLhq7qn5B_iXgn5YerOQtkH-6RG/view"
"DroidLeaks: A Comprehensive Database of Resource Leaks in Android Apps","2016","ESE","Mobile Apps","Other","Java","Version Control","Metadata","http://castle.cse.ust.hk/droidleaks/;https://zenodo.org/records/2589909"
"ECench: An Energy Bug Benchmark of Ethereum Client Software.","2022","MSR","Blockchain","Performance","C#;Go;Java;Rust","Version Control","Diff","https://github.com/pinguskku/ECench"
"Empirical Analysis of Vulnerabilities Life Cycle in Golang Ecosystem","2024","ICSE","General","Security","Go","Vulnerability Datasets","Metadata","https://sites.google.com/view/vulnerabilities-life-cycle/"
"Evaluating defect prediction approaches: a benchmark and an extensive comparison","2012","ESE","General","Functional","Java","Issue Reports","Metadata","http://bug.inf.usi.ch/"
"Evaluation of Static Vulnerability Detection Tools with Java Cryptographic API Benchmarks.","2021","TSE","General","Security","Java","","File","https://github.com/CryptoAPI-Bench/CryptoAPI-Bench/tree/master"
"ExcePy: A Python Benchmark for Bugs with Python Built-in Types.","2022","SANER","General","Functional","Python","Version Control","Framework","https://github.com/Stardust1225/ExcePy_Present"
"Fine-grained smart contract vulnerability detection by heterogeneous code feature learning and automated dataset construction.","2024","JSS","Blockchain","Security","Solidity","Synthesis","Snippet","https://github.com/smartcontract-detect-yzu/sbp_dataset"
"FixJS: A Dataset of Bug-fixing JavaScript Commits.","2022","MSR","General","Functional","JavaScript","Version Control","File","https://github.com/AAI-USZ/FixJS/"
"FIXREVERTER: A Realistic Bug Injection Methodology for Benchmarking Fuzz Testing.","2022","Usenix-Security","General","Security","C/C++","Synthesis","Diff","https://github.com/SlaterLatiao/FixReverter;https://github.com/UTD-FAST-Lab/RevBugBench"
"From Reports to Bug-Fix Commits: A 10 Years Dataset of Bug-Fixing Activity from 55 Apache's Open Source Projects.","2019","PROMISE","General","Functional","","Issue Reports","Metadata","https://doi.org/10.6084/m9.figshare.8852084"
"gDefects4DL: A Dataset of General Real-World Deep Learning Program Defects.","2022","ICSE","Machine Learning","Functional","Python","Issue Reports","Metadata","https://github.com/llmhyy/defects4dl;https://hub.docker.com/u/defects4dl;https://docs.google.com/spreadsheets/d/1uLxWENPkzYmLDZ4wGNN_Dd--N6wrbNCGnSuYvq_08IU/edit?pli=1#gid=1153330528"
"Ghera: A Repository of Android App Vulnerability Benchmarks.","2017","PROMISE","Mobile Apps","Security","Java","","Project","https://bitbucket.org/secure-it-i/android-app-vulnerability-benchmarks"
"GitBug-Actions: Building Reproducible Bug-Fix Benchmarks with GitHub Actions.","2024","ICSE","General","Functional","Go","CI/CD","Framework","https://github.com/gitbugactions/gitbugactions;https://nuno.saavedra.pt/gba-on-the-go#!/"
"GitBug-Java: A Reproducible Benchmark of Recent Java Bugs.","2024","MSR","General","Functional","Java","CI/CD","Framework","https://github.com/gitbugactions/gitbug-java/tree/main"
"GoBench: A Benchmark Suite of Real-World Go Concurrency Bugs.","2021","CGO","General","Concurrency","Go","Version Control","Framework","https://github.com/timmyyuan/gobench"
"HasBugs - Handpicked Haskell Bugs.","2023","MSR","General","Functional","Haskell","Issue Reports;Version Control","Framework","https://github.com/ciselab/HasBugs;https://github.com/orgs/ciselab/packages;https://ciselab.github.io/HasBugs/"
"How Effective Are Neural Networks for Fixing Security Vulnerabilities","2023","ISSTA","General","Security","Java","Version Control;Vulnerability Datasets","Framework","https://github.com/lin-tan/llm-vul"
"How Often Do Single-Statement Bugs Occur?: The ManySStuBs4J Dataset.","2020","MSR","General","Functional","Java","Version Control","Diff","https://doi.org/10.5281/zenodo.3653444;https://github.com/mast-group/mineSStuBs"
"IoT Bugs and Development Challenges.","2021","ICSE","Internet of Things","Functional;Performance;Security","C/C++;Java;JavaScript;Python","Issue Reports","Metadata","https://github.com/IoTSEstudy/IoTbugschallenges"
"Issues and Their Causes in WebAssembly Applications: An Empirical Study.","2024","EASE","General","Functional;Performance;Security","","Issue Reports","Metadata","https://zenodo.org/records/10528609"
"JaConTeBe: A Benchmark Suite of Real-World Java Concurrency Bugs (T).","2015","ASE","General","Concurrency","Java","Issue Reports","Metadata","https://sir.csc.ncsu.edu/portal/bios/JaConTeBe.php"
"Jbench: a dataset of data races for concurrency testing.","2018","MSR","General","Concurrency","Java","","File","https://github.com/buptsseGJ/ComRaDe"
"Labelled Vulnerability Dataset on Android Source Code (LVDAndro) to Develop AI-Based Code Vulnerability Detection Models.","2023","SECRYPT","Mobile Apps","Security","Java","","Metadata","https://github.com/softwaresec-labs/LVDAndro"
"LAVA: Large-scale Automated Vulnerability Addition","2016","SP","General","Security","C/C++","Synthesis","Framework","https://github.com/panda-re/lava"
"MegaVul: A C/C++ Vulnerability Dataset with Comprehensive Code Representations.","2024","MSR","General","Security","","Vulnerability Datasets","Framework","https://github.com/Icyrockton/MegaVul"
"Minecraft: Automated Mining of Software Bug Fixes with Precise Code Context.","2023","ASE","General","Functional","C/C++;Java;Python","Version Control","Metadata","https://github.com/SET-IITGN/Minecraft;https://zenodo.org/records/8164641"
"MUBench: A Benchmark for API-Misuse Detectors","2016","MSR","General","Functional","Java","Other Datasets;Version Control","Framework","https://github.com/stg-tud/MUBench"
"No Strings Attached: An Empirical Study of String-related Software Bugs.","2020","ASE","General","Functional","JavaScript","Version Control","Metadata","https://github.com/sola-st/string-bugs"
"Open-source Defect Injection Benchmark Testbed for the Evaluation of Testing.","2020","ICST","General","Functional","Java","Synthesis","File","https://projects.kiv.zcu.cz/tbuis/web/page/download"
"P3: A Dataset of Partial Program Patches","2024","MSR","General","Functional","C/C++","Issue Reports;Version Control","Framework","https://gitlab.com/sosy-lab/research/data/partial-fix-dataset"
"Performance Issues and Optimizations in JavaScript: An Empirical Study.","2016","ICSE","General","Performance","JavaScript","Issue Reports","File","https://github.com/marijaselakovic/JavaScriptIssuesStudy"
"Poster: BugOss: A Regression Bug Benchmark for Empirical Study of Regression Fuzzing Techniques.","2023","ICST","General","Functional;Performance","C/C++","Other Datasets","Framework","https://github.com/arise-handong/BugOss"
"PreciseBugCollector: Extensible, Executable and Precise Bug-Fix Collection","2023","ASE","General","Functional","","Other Datasets;Vulnerability Datasets","Diff","https://github.com/SophieHYe/PreciseBugs"
"Privbench: A Benchmark Capturing Privilege Escalation Vulnerabilities in Android.","2024","PST","Mobile Apps","Security","C/C++;Java;Kotlin","Version Control","",""
"PyBugHive: A Comprehensive Database of Manually Validated, Reproducible Python Bugs","2024","ACCESS","General","Functional","Python","Issue Reports;Version Control","Framework","https://pybughive.github.io"
"PySStuBs: Characterizing Single-Statement Bugs in Popular Open-Source Python Projects.","2021","MSR","General","Functional","Python","Other Datasets;Version Control","Metadata","https://doi.org/10.5281/zenodo.4589607"
"PyTraceBugs: A Large Python Code Dataset for Supervised Machine Learning in Software Defect Prediction.","2021","APSEC","General","Functional","Python","Version Control","Snippet","https://github.com/acheshkov/pytracebugs;https://pytracebugs-dataset.obs.ap-southeast-3.myhuaweicloud.com/pytracebugs_dataset_v1.rar"
"QuixBugs: a multi-lingual program repair benchmark set based on the quixey challenge","2017","OOPSLA","General","Functional","Java;Python","Coding Assignments","Framework","https://github.com/jkoppel/QuixBugs"
"RaceBench: A Triggerable and Observable Concurrency Bug Benchmark.","2023","ASIACCS","General","Concurrency","C/C++","Synthesis","Framework","https://github.com/rb130/RaceBenchData;https://github.com/rb130/RaceBench"
"RADBench: A Concurrency Bug Benchmark Suite.","2011","HotPar","General","Concurrency","C/C++","Issue Reports","",""
"RegMiner: towards constructing a large regression dataset from code evolution history.","2022","ISSTA","General","Functional","Java","Version Control","Framework","https://regminer.github.io/;http://101.42.233.129/regression/;https://github.com/SongXueZhi/RegMiner"
"Repairing crashes in Android apps","2018","ICSE","Mobile Apps","Functional","Java","Issue Reports","Binary","https://github.com/stan6/droixbench"
"ROBUST: 221 bugs in the Robot Operating System","2024","ESE","Autonomous Systems","Concurrency;Functional","C/C++;Python","Issue Reports;Version Control","Framework","https://github.com/robust-rosin/robust"
"ROMEO: A binary vulnerability detection dataset for exploring Juliet through the lens of assembly language.","2023","COMPSEC","General","Security","","","Binary","https://gitlab.com/dlr-dw/romeo"
"SDPTool : A tool for creating datasets and software defect predictions.","2022","SoftwareX","General","Functional","Java","Issue Reports","Metadata","https://github.com/jalajpachouly/SDPTool"
"SecBench.js: An Executable Security Benchmark Suite for Server-Side JavaScript.","2023","ICSE","General","Security","JavaScript","Issue Reports","Framework","https://github.com/cristianstaicu/SecBench.js"
"Silent bugs in deep learning frameworks: an empirical study of Keras and TensorFlow","2024","ESE","Machine Learning","Functional;Performance","C/C++;Python","Issue Reports","Metadata","https://github.com/amin-nikanjam/SilentBugsInTensorFlowKeras"
"Silent Bugs Matter: A Study of Compiler-Introduced Security Bugs.","2023","Usenix-Security","Compilers & Runtimes","Security","C/C++","Issue Reports","Metadata","https://github.com/H0w1/CISB-dataset"
"SWE-bench: Can Language Models Resolve Real-world Github Issues?","2024","ICLR","General","Functional","Python","Issue Reports","Framework","https://github.com/swe-bench/SWE-bench"
"TANDEM: A Taxonomy and a Dataset of Real-World Performance Bugs.","2020","IEEE-Access","General","Performance","","Other Datasets","Metadata","https://github.com/belene/tandem"
"Taxonomy of Aging-related Bugs in Deep Learning Libraries.","2022","ISSRE","Machine Learning","Functional","C/C++;Python","Issue Reports","",""
"Taxonomy of Real Faults in Deep Learning Systems","2020","ICSE","Machine Learning","Functional;Performance","Python","Issue Reports;Q&A Forums;Version Control","Metadata","https://github.com/dlfaults/dl_faults"
"Taxonomy of Security-related Issues in Android Apps: An Empirical Study.","2024","ASE","Mobile Apps","Security","Java","Issue Reports","Metadata","https://zenodo.org/records/7716400#.ZAssAHZBxPY"
"The eclipse and mozilla defect tracking dataset: a genuine dataset for mining bug information.","2013","MSR","General","Functional","","Issue Reports","Metadata","https://github.com/ansymo/msr2013-bug_dataset"
"The GitHub Recent Bugs Dataset for Evaluating LLM-based Debugging Applications.","2024","ICST","General","Functional","Java","Version Control","Framework","https://github.com/coinse/GHRB"
"The ManyBugs and IntroClass Benchmarks for Automated Repair of C Programs.","2015","TSE","General","Functional","C/C++","Issue Reports","Project","http://repairbenchmarks.cs.umass.edu/;https://repairbenchmarks.cs.umass.edu/ManyBugs/"
"The ManyBugs and IntroClass Benchmarks for Automated Repair of C Programs.","2015","TSE","General","Functional","C/C++","Coding Assignments","File","http://repairbenchmarks.cs.umass.edu;https://repairbenchmarks.cs.umass.edu/IntroClass/"
"TrickyBugs: A Dataset of Corner-case Bugs in Plausible Programs.","2024","MSR","General","Functional","C/C++;Java;Python","Coding Assignments","Framework","https://doi.org/10.5281/zenodo.7977255."
"Understanding Transaction Bugs in Database Systems.","2024","ICSE","Databases","Functional;Performance","C/C++;Go","Issue Reports","Metadata","https://github.com/tcse-iscas/TXBug"
